Dim;Paper;Field Power;XOR \\ iXOR;XTIME \\ iXTIME;ID \\ iID
3;LiuMeichengCirculant2016;8;6\\45;3\\57;\eqrefmat:liu-sim-1\\\eqrefmat:liu-sim-1-inv \\
4;LiuMeichengCirculant2016;8;20\\52;32\\96;\eqrefmat:liu-sim-2\\\eqrefmat:liu-sim-2-inv \\
5;LiuMeichengCirculant2016;8;30\\50;45\\110;\eqrefmat:liu-sim-3\\\eqrefmat:liu-sim-3-inv \\
6;LiuMeichengCirculant2016;8;60\\90;108\\198;\eqrefmat:liu-sim-4\\\eqrefmat:liu-sim-4-inv \\
7;LiuMeichengCirculant2016;8;70\\182;126\\273;\eqrefmat:liu-sim-5\\\eqrefmat:liu-sim-5-inv \\
8;LiuMeichengCirculant2016;8;120\\232;200\\408;\eqrefmat:liu-sim-6\\\eqrefmat:liu-sim-6-inv \\
3;LiuMeichengCirculant2016;4;6\\21;3\\21;\eqrefmat:liu-sim-7\\\eqrefmat:liu-sim-7-inv \\
4;LiuMeichengCirculant2016;4;16\\32;20\\40;\eqrefmat:liu-sim-8\\\eqrefmat:liu-sim-8-inv \\
5;LiuMeichengCirculant2016;4;30\\40;40\\50;\eqrefmat:liu-sim-9\\\eqrefmat:liu-sim-9-inv \\
6;LiuMeichengCirculant2016;4;54\\72;60\\84;\eqrefmat:liu-sim-10\\\eqrefmat:liu-sim-10-inv \\
8;LiuMeichengCirculant2016;8;96\\320;176\\432;\eqrefmat:liu-sim-11\\\eqrefmat:liu-sim-11-inv \\
8;LiuMeichengCirculant2016;8;104\\232;152\\376;\eqrefmat:liu-sim-12\\\eqrefmat:liu-sim-12-inv \\
8;LiuMeichengCirculant2016;8;120\\192;208\\384;\eqrefmat:liu-sim-13\\\eqrefmat:liu-sim-13-inv \\
8;LiuMeichengCirculant2016;8;112\\248;184\\360;\eqrefmat:liu-sim-14\\\eqrefmat:liu-sim-14-inv \\
8;LiuMeichengCirculant2016;8;120\\216;176\\392;\eqrefmat:liu-sim-15\\\eqrefmat:liu-sim-15-inv \\
8;LiuMeichengCirculant2016;8;120\\296;192\\432;\eqrefmat:liu-sim-16\\\eqrefmat:liu-sim-16-inv \\
3;LiuMeichengCirculant2016;8;24;45;\eqrefmat:liu-sim-17 \\
5;LiuMeichengCirculant2016;8;70;90;\eqrefmat:liu-sim-18 \\
6;LiuMeichengCirculant2016;8;84;126;\eqrefmat:liu-sim-19 \\
7;LiuMeichengCirculant2016;8;112;217;\eqrefmat:liu-sim-20 \\
7;LiuMeichengCirculant2016;8;98;189;\eqrefmat:liu-sim-21 \\
3;LiuMeichengCirculant2016;4;18;21;\eqrefmat:liu-sim-22 \\
5;LiuMeichengCirculant2016;4;30;30;\eqrefmat:liu-sim-23 \\
8;ToeplitzMDS2017;4;NA;NA;\eqrefmat:sarkar-1\\\eqrefmat:sarkar-1-inv \\
8;ToeplitzMDS2017;8;NA;NA;\eqrefmat:sarkar-2\\\eqrefmat:sarkar-2-inv \\
3;LwCircuits2018;NA;6;3;\eqrefmat:duwal-1 \\
3;LwCircuits2018;NA;9;9;\eqrefmat:duwal-2 \\
3;LwCircuits2018;NA;8;4;\eqrefmat:duwal-3\\\eqrefmat:duwal-3-inv \\
3;LwCircuits2018;NA;8;4;\eqrefmat:duwal-4 \\
3;LwCircuits2018;NA;6;3;\eqrefmat:duwal-5 \\
4;LwCircuits2018;NA;18;16;\eqrefmat:duwal-6 \\
4;LwCircuits2018;NA;---;---;\eqrefmat:duwal-7 \\
4;LwCircuits2018;NA;18;16;\eqrefmat:duwal-8 \\
4;LwCircuits2018;NA;22;18;\eqrefmat:duwal-9 \\
4;LwCircuits2018;NA;22;16;\eqrefmat:duwal-10 \\
4;LwCircuits2018;NA;18;16;\eqrefmat:duwal-11 \\
4;LwCircuits2018;NA;---;---;\eqrefmat:duwal-12 \\
4;LwCircuits2018;NA;20;14;\eqrefmat:duwal-13 \\
4;LwCircuits2018;NA;---;---;\eqrefmat:duwal-14
